Koordinaten

MN/mm² 40+  55 arasi

50.147351, 9.024676      24/06/2025 14:26

50.146947, 9.024900      02/12/2025 15:27  

50.146438, 9.026638      04/07/2025  15:30

50.146537, 9.025730      03/12/2025  16:15

50.145984, 9.026386      04/12/2025  17:35

50.145832, 9.026324      17/12/2025  16:33



MN/mm² 60+  -75 arasi

50.145832, 9.026324   18/12/2025    17:20

50.147026, 9.025836   04/07/2025   15:10

50.147013, 9.026716   02/07/2025  11:02

50.146714, 9.026319   20/07/2025   14:58

50.146196, 9.026155   09/12/2025  14:26

50.145738, 9.026535   11/12/2025  15:14
